# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 1200, i.e. number of multipoles equal to 1199
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for galaxy lensing (lens[i]), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:dens[1]-dens[1]        3:dens[1]-dens[2]        4:dens[2]-dens[2]        5:lens[1]-lens[1]        6:lens[1]-lens[2]        7:lens[2]-lens[2]        8:dens[1]-lens[1]        9:dens[1]-lens[2]       10:dens[2]-lens[1]       11:dens[2]-lens[2]    
    2       1.206073652775e-06       2.399725958260e-07       2.264832725899e-06       3.024151070623e-09       3.530951618135e-09       4.334734019750e-09       1.343212704162e-09       9.963328366244e-09      -7.107269179048e-10       2.910469130239e-09 
    3       3.678621668136e-06       0.000000000000e+00       1.521137226806e-06       1.764154743736e-09       1.960460637661e-09       2.251150019709e-09       1.903132539124e-09       1.231727580216e-08       0.000000000000e+00       3.420617773848e-10 
    4       7.197988571363e-06       0.000000000000e+00       3.045029809960e-06       1.139772981915e-09       1.279826366966e-09       1.490739720889e-09       2.181741593133e-09       1.495890836272e-08       0.000000000000e+00       6.689869510083e-10 
    5       1.384717367402e-05       0.000000000000e+00       5.307950702029e-06       7.883494750675e-10       8.934371210595e-10       1.054181908108e-09       2.901833729336e-09       1.888795529551e-08       0.000000000000e+00       7.733851724010e-10 
    6       2.157319971963e-05       0.000000000000e+00       8.162750058242e-06       5.721286260505e-10       6.538548116548e-10       7.807024880695e-10       3.218438842148e-09       2.138898058758e-08       0.000000000000e+00       7.708912490686e-10 
    7       3.371445488214e-05       0.000000000000e+00       1.589365265218e-05       4.302748723442e-10       4.955439189900e-10       5.982593420088e-10       3.656384728536e-09       2.460542163105e-08       0.000000000000e+00       1.158306862684e-09 
    8       4.647075054536e-05       0.000000000000e+00       2.146988970980e-05       3.326202186353e-10       3.858274225063e-10       4.706692261491e-10       3.799241193580e-09       2.661706648179e-08       0.000000000000e+00       1.256120823453e-09 
    9       6.359074609909e-05       0.000000000000e+00       2.312012022881e-05       2.628282626447e-10       3.069164936270e-10       3.781115721160e-10       4.272360499095e-09       2.928482649336e-08       0.000000000000e+00       1.246809211310e-09 
   10       8.399046560156e-05       0.000000000000e+00       3.585148555897e-05       2.114370731288e-10       2.484602906864e-10       3.089749624796e-10       4.512503754791e-09       3.107834830295e-08       0.000000000000e+00       9.932843036316e-10 
   11       1.045336529881e-04       0.000000000000e+00       4.443033771733e-05       1.726580748345e-10       2.040952744846e-10       2.560842225852e-10       4.737317757462e-09       3.235130004521e-08       0.000000000000e+00       1.484644878931e-09 
   12       1.273756657332e-04       0.000000000000e+00       5.319682608358e-05       1.427941194202e-10       1.697406638840e-10       2.148098391328e-10       4.983949125850e-09       3.412850803965e-08       0.000000000000e+00       1.168285199949e-09 
   13       1.605089526031e-04       0.000000000000e+00       7.259726241110e-05       1.193952258235e-10       1.426793530909e-10       1.820538844645e-10       5.225103960508e-09       3.606496019664e-08       0.000000000000e+00       1.597009854092e-09 
   14       1.874035246921e-04       0.000000000000e+00       9.428070128671e-05       1.007883886701e-10       1.210502145243e-10       1.556808972922e-10       5.455819456985e-09       3.722143024067e-08       0.000000000000e+00       1.601873047628e-09 
   15       2.259962518874e-04       0.000000000000e+00       1.055976927245e-04       8.580082382663e-11       1.035415289203e-10       1.341797105094e-10       5.639601129948e-09       3.878151751729e-08       0.000000000000e+00       1.457101866500e-09 
   16       2.602379508889e-04       0.000000000000e+00       1.182499524663e-04       7.359157043123e-11       8.921071554033e-11       1.164575202612e-10       5.784655745269e-09       3.996886497316e-08       0.000000000000e+00       1.464418321888e-09 
   17       3.010491411860e-04       0.000000000000e+00       1.369631500279e-04       6.354546690270e-11       7.736411769640e-11       1.017081530053e-10       5.935380695345e-09       4.078677216120e-08       0.000000000000e+00       1.609804094199e-09 
