# Matter power spectrum P(k) at redshift z=0
# for k=2.09001e-07 to 345.411 h/Mpc,
# number of wavenumbers equal to 592
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       2.090008603260e-07       1.217967127071e+00 
       1.307652972558e-05       6.509391164830e+01 
       2.596187711742e-05       1.259014080648e+02 
       3.889956928323e-05       1.857545726939e+02 
       5.192446092655e-05       2.452308597512e+02 
       6.507204526698e-05       3.046816281874e+02 
       7.837877074008e-05       3.643770203804e+02 
       9.188236864722e-05       4.245508497287e+02 
       1.056221960829e-04       4.854198322169e+02 
       1.196395985024e-04       5.471939727185e+02 
       1.339782963238e-04       6.100827598348e+02 
       1.486847999522e-04       6.742996882019e+02 
       1.638088575395e-04       7.400657782233e+02 
       1.794039395776e-04       8.076126167910e+02 
       1.955277640073e-04       8.771851168909e+02 
       2.122428647910e-04       9.490441659082e+02 
       2.296172057195e-04       1.023469372447e+03 
       2.477248394105e-04       1.100761552329e+03 
       2.666466087923e-04       1.181245479317e+03 
       2.864708845568e-04       1.265272529035e+03 
       3.072943267769e-04       1.353223235025e+03 
       3.292226517252e-04       1.445509767910e+03 
       3.523713755012e-04       1.542578005475e+03 
       3.768664940138e-04       1.644909360461e+03 
       4.028450439565e-04       1.753021664911e+03 
       4.304554717643e-04       1.867469190797e+03 
       4.598577178180e-04       1.988841158223e+03 
       4.912229029373e-04       2.117758529129e+03 
       5.247324863004e-04       2.254868307587e+03 
       5.605767528243e-04       2.400835046778e+03 
       5.989524899120e-04       2.556328779793e+03 
       6.400597359533e-04       2.722009803158e+03 
       6.840975338625e-04       2.898509050650e+03 
       7.312587080381e-04       3.086405223046e+03 
       7.817238027947e-04       3.286199665246e+03 
       8.356544657402e-04       3.498289285441e+03 
       8.931867101208e-04       3.722940877092e+03 
       9.544246140418e-04       3.960268207220e+03 
       1.019435074594e-03       4.210214664103e+03 
       1.088244199927e-03       4.472543876493e+03 
       1.160835779883e-03       4.746840330131e+03 
       1.237152041931e-03       5.032518868885e+03 
       1.317096618077e-03       5.328844456648e+03 
       1.400539380301e-03       5.634932097309e+03 
       1.487322603764e-03       5.949838074447e+03 
       1.577267823563e-03       6.272565904131e+03 
       1.670182766739e-03       6.602074754101e+03 
       1.765867843895e-03       6.937323378989e+03 
       1.864121836527e-03       7.277291980719e+03 
       1.964746578145e-03       7.621003039088e+03 
       2.067550570242e-03       7.967533055317e+03 
       2.172351581739e-03       8.316021878487e+03 
       2.278978349043e-03       8.665678322494e+03 
       2.387271527468e-03       9.015781676209e+03 
       2.497084052102e-03       9.365679990651e+03 
       2.608281056191e-03       9.714789564443e+03 
       2.720739475757e-03       1.006258941061e+04 
       2.834347446154e-03       1.040861915730e+04 
       2.949003573468e-03       1.075247029996e+04 
       3.064616143161e-03       1.109378793742e+04 
       3.181102311058e-03       1.143225968263e+04 
       3.298387307900e-03       1.176761478165e+04 
       3.416403677963e-03       1.209961832418e+04 
       3.535090564175e-03       1.242806751365e+04 
       3.654393046395e-03       1.275278697258e+04 
       3.774261535360e-03       1.307362993829e+04 
       3.894651222088e-03       1.339046752326e+04 
       4.015521580689e-03       1.370319521678e+04 
       4.136835921472e-03       1.401172233121e+04 
       4.258560990616e-03       1.431597516538e+04 
       4.380666612469e-03       1.461589365019e+04 
       4.503125370488e-03       1.491143038064e+04 
       4.625912322978e-03       1.520254931025e+04 
       4.749004750019e-03       1.548920298970e+04 
       4.872381928218e-03       1.577138958703e+04 
       4.996024930237e-03       1.604911489867e+04 
       5.119916446308e-03       1.632234213146e+04 
       5.244040625267e-03       1.659111188649e+04 
       5.368382932867e-03       1.685545710688e+04 
       5.492930025394e-03       1.711532704131e+04 
       5.617669636841e-03       1.737077207301e+04 
       5.742590478078e-03       1.762178319593e+04 
       5.867682146649e-03       1.786787981068e+04 
       5.992935045989e-03       1.811008439746e+04 
       6.118340312991e-03       1.834792229346e+04 
       6.243889752983e-03       1.858143510347e+04 
       6.369575781292e-03       1.881051184004e+04 
       6.495391370649e-03       1.903555651883e+04 
       6.621330003814e-03       1.925629873069e+04 
       6.747385630830e-03       1.947277466310e+04 
       6.873552630420e-03       1.968509687717e+04 
       6.999825775077e-03       1.989343643478e+04 
       7.126200199450e-03       2.009785044848e+04 
       7.252671371700e-03       2.029791810770e+04 
       7.379235067485e-03       2.049399393116e+04 
       7.505887346335e-03       2.068636869155e+04 
       7.632624530154e-03       2.087482724362e+04 
       7.759443183643e-03       2.105964934257e+04 
       7.886340096451e-03       2.124013594094e+04 
       8.013312266880e-03       2.141677269739e+04 
       8.140356886996e-03       2.158995966277e+04 
       8.267471329018e-03       2.175911779412e+04 
       8.394653132842e-03       2.192488142187e+04 
       8.521899994616e-03       2.208767457091e+04 
       8.649209756254e-03       2.224606153903e+04 
       8.776580395811e-03       2.240091335445e+04 
       8.904010018625e-03       2.255158444960e+04 
       9.031496849183e-03       2.270006790749e+04 
       9.159039223617e-03       2.284357716803e+04 
