# Table of selected background quantities
# All densities are multiplied by (8piG/3) (below, shortcut notation (.) for this factor) 
# Densities are in units [Mpc^-2] while all distances are in [Mpc]. 
#    1:z                      2:proper time [Gyr]      3:conf. time [Mpc]       4:H [1/Mpc]              5:comov. dist.           6:ang.diam.dist.         7:lum. dist.             8:comov.snd.hrz.         9:(.)rho_g              10:(.)rho_b              11:(.)rho_cdm            12:(.)rho_lambda         13:(.)rho_ur             14:(.)rho_crit           15:(.)rho_tot            16:(.)p_tot              17:(.)p_tot_prime        18:gr.fac. D             19:gr.fac. f          
       1.000000000000e+14       7.558503632224e-26       4.634785000235e-09       2.157545946648e+22       1.416504618283e+04       1.416504618283e-10       1.416504618283e+18       2.675958164815e-09       2.751560535470e+44       2.451390603497e+33       1.339408137477e+34       3.492914243310e-08       1.903443976270e+44       4.655004511898e+44       4.655004511898e+44       1.551668170580e+44      -1.339118148791e+53       5.416445788183e-06       2.000000000000e+00 
       9.893085837570e+13       7.722755277895e-26       4.685716703534e-09       2.111658124360e+22       1.416504618283e+04       1.431812724099e-10       1.401360177799e+18       2.704877133456e-09       2.635761930281e+44       2.373601724479e+33       1.296905299531e+34       3.492914243310e-08       1.823338103742e+44       4.459100034177e+44       4.459100034177e+44       1.486366678008e+44      -1.269047220625e+53       5.532888324097e-06       1.957908951181e+00 
       9.787314738953e+13       7.890576211210e-26       4.734829417430e-09       2.066746268419e+22       1.416504618283e+04       1.447286263969e-10       1.386377652832e+18       2.734108627169e-09       2.524836674885e+44       2.298281285084e+33       1.255751185087e+34       3.492914243310e-08       1.746603462989e+44       4.271440138022e+44       4.271440138022e+44       1.423813379291e+44      -1.202642835981e+53       5.649330859999e-06       1.917553041712e+00 
       9.682674483178e+13       8.062044001996e-26       4.787580110133e-09       2.022789621457e+22       1.416504618283e+04       1.462927025735e-10       1.371555312275e+18       2.763656023970e-09       2.418579675807e+44       2.225350955424e+33       1.215902995706e+34       3.492914243310e-08       1.673098176725e+44       4.091677852675e+44       4.091677852675e+44       1.363892617511e+44      -1.139713138669e+53       5.765773395892e-06       1.878827146122e+00 
       9.579152979933e+13       8.237237912517e-26       4.838511813432e-09       1.979767867589e+22       1.416504618283e+04       1.478736816554e-10       1.356891443532e+18       2.793522738392e-09       2.316794470871e+44       2.154734891220e+33       1.177319291054e+34       3.492914243310e-08       1.602686338530e+44       3.919480809540e+44       3.919480809540e+44       1.306493603133e+44      -1.080076311596e+53       5.882215931788e-06       1.841634462244e+00 
       9.476738268169e+13       8.416238909900e-26       4.891262506135e-09       1.937661123017e+22       1.416504618283e+04       1.494717463118e-10       1.342384352312e+18       2.823712221105e-09       2.219292865953e+44       2.086359654923e+33       1.139959945805e+34       3.492914243310e-08       1.535237761562e+44       3.754530627651e+44       3.754530627651e+44       1.251510209172e+44      -1.023560051465e+53       5.998658467681e-06       1.805885704713e+00 
       9.375418514718e+13       8.599129724422e-26       4.944013198838e-09       1.896449926840e+22       1.416504618283e+04       1.510870811857e-10       1.328032362444e+18       2.854227960251e-09       2.125894587024e+44       2.020154139346e+33       1.103786107909e+34       3.492914243310e-08       1.470627737858e+44       3.596522325012e+44       3.596522325012e+44       1.198840774961e+44      -9.700010709485e+52       6.115101003574e-06       1.771498388655e+00 
       9.275182012925e+13       8.785994886163e-26       4.996763891540e-09       1.856115232065e+22       1.416504618283e+04       1.527198729156e-10       1.313833815673e+18       2.885073481730e-09       2.036426946831e+44       1.956049493713e+33       1.068760158193e+34       3.492914243310e-08       1.408736807747e+44       3.445163754705e+44       3.445163754705e+44       1.148387918193e+44      -9.192446269225e+52       6.231543539466e-06       1.738396194400e+00 
       9.176017181296e+13       8.976920767834e-26       5.051333573647e-09       1.816638396799e+22       1.416504618283e+04       1.543703101571e-10       1.299787071475e+18       2.916252349562e-09       1.950724525616e+44       1.893979052061e+33       1.034845671238e+34       3.492914243310e-08       1.349450538987e+44       3.300175064725e+44       3.300175064725e+44       1.100058354868e+44      -8.711440733767e+52       6.347986075358e-06       1.706508402067e+00 
       9.077912562158e+13       9.171995609686e-26       5.105903255753e-09       1.778001175634e+22       1.416504618283e+04       1.560385836043e-10       1.285890506867e+18       2.947768166162e-09       1.868628865258e+44       1.833878263906e+33       1.002007377492e+34       3.492914243310e-08       1.292659315181e+44       3.161288180557e+44       3.161288180557e+44       1.053762726813e+44      -8.255604377259e+52       6.464428611245e-06       1.675769387306e+00 
       8.980856820338e+13       9.371309565088e-26       5.160472937860e-09       1.740185711217e+22       1.416504618283e+04       1.577248860126e-10       1.272142516215e+18       2.979624572848e-09       1.789988176302e+44       1.775684627118e+33       9.702111265996e+33       3.492914243310e-08       1.238258133105e+44       3.028246309522e+44       3.028246309522e+44       1.009415436469e+44      -7.823620192885e+52       6.580871147128e-06       1.646118170433e+00 
       8.884838741853e+13       9.574954751684e-26       5.216861609370e-09       1.703174525991e+22       1.416504618283e+04       1.594294122200e-10       1.258541511054e+18       3.011825250357e-09       1.714657057307e+44       1.719337622916e+33       9.394238518822e+33       3.492914243310e-08       1.186146408566e+44       2.900803465985e+44       2.900803465985e+44       9.669344886245e+43      -7.414240087755e+52       6.697313683007e-06       1.617498012608e+00 
       8.789847232612e+13       9.783025293927e-26       5.273250280879e-09       1.666950514124e+22       1.416504618283e+04       1.611523591704e-10       1.245085919900e+18       3.044373919251e-09       1.642496226007e+44       1.664778652938e+33       9.096135359508e+33       3.492914243310e-08       1.136227790425e+44       2.778724016540e+44       2.778724016540e+44       9.262413388107e+43      -7.026281276904e+52       6.813756218882e-06       1.589856053481e+00 
       8.695871317136e+13       9.995617355856e-26       5.329638952389e-09       1.631496933600e+22       1.416504618283e+04       1.628939259361e-10       1.231774188072e+18       3.077274340240e-09       1.573372261788e+44       1.611950978294e+33       8.807491774104e+33       3.492914243310e-08       1.088409982454e+44       2.661782244346e+44       2.661782244346e+44       8.872607480805e+43      -6.658622865977e+52       6.930198754751e-06       1.563142985411e+00 
